City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
55,Andros Town,BS,2022-03-21 22:22:42,24.7,-77.7667,75.16,74,98,21.72
56,Cape Town,ZA,2022-03-21 22:22:43,-33.9258,18.4232,71.11,78,0,16.11
57,Athens,GR,2022-03-21 22:22:43,37.9795,23.7162,47.16,58,46,11.99
58,Maryville,US,2022-03-21 22:20:13,35.7565,-83.9705,71.19,29,75,3.44
59,Victoria,HK,2022-03-21 22:19:32,22.2855,114.1577,75.94,95,99,11.99
60,Kathmandu,NP,2022-03-21 22:21:30,27.7167,85.3167,61.02,82,20,3.44
61,Broome,US,2022-03-21 22:22:44,42.2506,-75.833,51.89,46,0,11.5
62,Provideniya,RU,2022-03-21 22:22:44,64.3833,-173.3,17.71,62,0,4.47
63,Saint Anthony,US,2022-03-21 22:22:45,45.0205,-93.218,64.47,48,0,16.11
64,Solnechnyy,RU,2022-03-21 22:22:45,50.7214,136.6319,15.13,68,4,8.21
65,Dikson,RU,2022-03-21 22:22:45,73.5069,80.5464,0.18,98,100,10.71
66,Mahebourg,MU,2022-03-21 22:22:46,-20.4081,57.7,80.89,94,75,3.44
67,Yellowknife,CA,2022-03-21 22:22:46,62.456,-114.3525,19.42,92,100,16.11
68,Kununurra,AU,2022-03-21 22:22:46,-15.7667,128.7333,76.98,94,74,2.3
69,Rocha,UY,2022-03-21 22:22:47,-34.4833,-54.3333,65.08,58,15,15.41
70,Puerto Escondido,MX,2022-03-21 22:22:47,15.85,-97.0667,88.63,55,0,0.0
71,Arraial Do Cabo,BR,2022-03-21 22:22:47,-22.9661,-42.0278,75.16,78,75,13.8
72,Lakes Entrance,AU,2022-03-21 22:22:48,-37.8811,147.981,62.17,76,98,2.39
73,New Norfolk,AU,2022-03-21 22:22:48,-42.7826,147.0587,62.1,67,100,0.29
74,Farrukhnagar,IN,2022-03-21 22:22:49,17.0778,78.2011,76.71,60,16,6.64
75,Kodiak,US,2022-03-21 22:22:50,57.79,-152.4072,40.51,45,0,13.8
76,Nenjiang,CN,2022-03-21 22:22:50,49.1833,125.2167,4.33,92,8,5.91
77,Boyolangu,ID,2022-03-21 22:22:51,-8.1181,111.8935,74.75,85,100,3.0
78,Chimbote,PE,2022-03-21 22:22:51,-9.0853,-78.5783,72.86,75,78,11.1
79,Bambari,CF,2022-03-21 22:22:52,5.768,20.6757,80.49,29,16,2.66
80,Walvis Bay,NA,2022-03-21 22:22:52,-22.9575,14.5053,72.55,68,35,4.61
81,Vryburg,ZA,2022-03-21 22:22:53,-26.9566,24.7284,66.22,71,94,1.63
82,Butaritari,KI,2022-03-21 22:22:53,3.0707,172.7902,80.65,78,54,15.68
83,Tiznit,MA,2022-03-21 22:22:53,29.5833,-9.5,53.73,83,94,3.96
84,Esperance,AU,2022-03-21 22:22:54,-33.8667,121.9,62.1,65,100,14.56
85,Yantongshan,CN,2022-03-21 22:22:54,43.2919,126.0094,20.82,83,2,5.41
86,Karratha,AU,2022-03-21 22:22:01,-20.7377,116.8463,84.18,71,100,18.21
87,Thompson,CA,2022-03-21 22:22:55,55.7435,-97.8558,37.56,41,75,10.36
88,Chokurdakh,RU,2022-03-21 22:22:55,70.6333,147.9167,2.39,84,100,15.64
89,Okato,NZ,2022-03-21 22:22:55,-39.2,173.8833,71.91,76,96,11.88
90,Surovikino,RU,2022-03-21 22:22:56,48.6078,42.8486,33.1,86,91,14.03
91,Sola,VU,2022-03-21 22:22:56,-13.8833,167.55,81.21,78,100,9.22
92,Buta,CD,2022-03-21 22:22:56,2.7858,24.73,71.29,94,100,3.53
93,Meulaboh,ID,2022-03-21 22:22:57,4.1363,96.1285,75.76,89,100,4.68
94,Olinda,BR,2022-03-21 22:22:57,-8.0089,-34.8553,78.53,94,75,12.66
95,Linxia,CN,2022-03-21 22:23:58,35.6003,103.2064,40.51,78,100,1.34
96,Ostrovnoy,RU,2022-03-21 22:21:09,68.0531,39.5131,30.04,75,48,29.01
97,Atar,MR,2022-03-21 22:23:58,20.5169,-13.0499,78.51,12,0,8.48
98,Davila,PH,2022-03-21 22:23:58,18.4726,120.5763,73.38,78,69,1.05
99,Buraydah,SA,2022-03-21 22:23:59,26.326,43.975,64.85,33,0,7.4
100,College,US,2022-03-21 22:20:02,64.8569,-147.8028,14.79,46,0,5.75
101,Namatanai,PG,2022-03-21 22:24:00,-3.6667,152.4333,82.72,73,96,4.72
102,Port Blair,IN,2022-03-21 22:24:00,11.6667,92.75,78.51,75,97,4.88
103,Tomatlan,MX,2022-03-21 22:24:00,19.9333,-105.25,93.33,15,31,12.35
104,Avarua,CK,2022-03-21 22:24:01,-21.2078,-159.775,86.05,70,40,20.71
105,Quatre Cocos,MU,2022-03-21 22:24:01,-20.2078,57.7625,80.71,86,30,7.58
106,Kruisfontein,ZA,2022-03-21 22:24:01,-34.0033,24.7314,64.89,94,0,1.7
107,Lavrentiya,RU,2022-03-21 22:24:02,65.5833,-171.0,5.79,85,68,3.29
108,Mount Gambier,AU,2022-03-21 22:24:02,-37.8333,140.7667,57.11,100,100,0.0
109,Keningau,MY,2022-03-21 22:24:03,5.3378,116.1602,70.05,99,93,1.5
110,Inta,RU,2022-03-21 22:24:03,66.0317,60.1659,11.82,93,100,12.5
111,Usinsk,RU,2022-03-21 22:24:03,65.9939,57.5281,18.7,96,100,13.98
112,Beringovskiy,RU,2022-03-21 22:24:04,63.05,179.3167,26.78,92,100,13.98
113,Saldanha,ZA,2022-03-21 22:24:05,-33.0117,17.9442,64.45,92,0,10.11
114,Port Shepstone,ZA,2022-03-21 22:24:05,-30.7414,30.455,71.02,79,100,9.8
115,Kahului,US,2022-03-21 22:20:50,20.8947,-156.47,84.22,68,20,14.0
116,Bredasdorp,ZA,2022-03-21 22:24:06,-34.5322,20.0403,66.42,91,0,5.61
117,Taoudenni,ML,2022-03-21 22:24:06,22.6783,-3.9836,76.93,14,0,10.49
118,Bella Union,UY,2022-03-21 22:24:07,-30.2752,-57.6007,76.05,57,4,8.01
119,Saint-Pierre,RE,2022-03-21 22:24:09,-21.3393,55.4781,78.91,91,75,13.8
120,Kavieng,PG,2022-03-21 22:24:09,-2.5744,150.7967,82.8,74,98,6.6
121,Kuldiga,LV,2022-03-21 22:24:10,56.974,21.9572,28.09,64,0,0.54
122,Vanderhoof,CA,2022-03-21 22:24:10,54.0166,-124.0198,50.13,54,62,7.65
123,Laguna,US,2022-03-21 22:20:48,38.421,-121.4238,82.49,29,0,19.57
124,Drovyanaya,RU,2022-03-21 22:24:11,51.5833,113.0333,0.14,99,35,1.68
125,Ulaangom,MN,2022-03-21 22:24:11,49.9811,92.0667,-4.41,75,31,4.41
