,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
137,Sangar,RU,63.9242,127.4739,-5.75,97,94,3.44,overcast clouds
138,Namatanai,PG,-3.6667,152.4333,79.16,81,59,5.32,broken clouds
139,Moranbah,AU,-22.0016,148.0466,72.23,53,9,9.42,clear sky
140,Itarema,BR,-2.9248,-39.9167,76.23,90,100,5.59,moderate rain
141,Kruisfontein,ZA,-34.0033,24.7314,64.89,78,100,4.63,overcast clouds
142,Umm Kaddadah,SD,13.6017,26.6876,83.41,9,45,11.54,scattered clouds
143,Krasnoselkup,RU,65.7,82.4667,14.54,90,100,20.15,overcast clouds
144,Iraquara,BR,-12.2486,-41.6194,83.91,33,70,10.58,broken clouds
145,Hilo,US,19.7297,-155.09,74.62,86,75,4.61,broken clouds
146,Brae,GB,60.3964,-1.353,39.07,63,96,16.22,overcast clouds
147,Saldanha,ZA,-33.0117,17.9442,64.45,76,47,24.38,scattered clouds
148,Valle De Allende,MX,26.9333,-105.4,67.15,13,20,4.56,few clouds
149,Santiago De Cao,PE,-7.9589,-79.2392,71.73,73,71,11.5,broken clouds
150,Ayan,RU,56.45,138.1667,11.52,76,15,10.33,few clouds
151,Kirovskiy,RU,45.0917,133.5136,27.55,63,80,10.31,broken clouds
152,Amahai,ID,-3.3333,128.9167,77.27,84,100,4.76,overcast clouds
153,Hondo,JP,32.45,130.2,54.12,73,100,16.22,overcast clouds
154,Madera,US,37.1666,-119.8343,66.52,81,84,4.21,broken clouds
155,Batemans Bay,AU,-35.7167,150.1833,59.09,81,95,17.69,light rain
156,Umm Lajj,SA,25.0213,37.2685,76.53,60,2,8.37,clear sky
157,Saint-Philippe,RE,-21.3585,55.7679,78.39,70,69,14.72,broken clouds
158,Aden,YE,12.7794,45.0367,80.37,62,0,14.52,clear sky
159,Klerksdorp,ZA,-26.8521,26.6667,72.61,31,39,8.52,scattered clouds
160,Arraial Do Cabo,BR,-22.9661,-42.0278,84.16,78,20,12.66,few clouds
161,Broken Hill,AU,-31.95,141.4333,58.71,63,0,16.11,clear sky
162,Qaanaaq,GL,77.484,-69.3632,22.41,70,53,4.83,broken clouds
